imgIndex,Detector,Descriptor,NumMatchBoxes,CameraTTC,LidarTTC,LidarDistance
13,Brisk,Brisk,9,11.6365,9.95617,7.268
14,Brisk,Brisk,8,12.1981,9.72157,7.194
15,Brisk,Brisk,9,12.6099,8.16898,7.107
16,Brisk,Brisk,10,11.2679,10.3515,7.039
17,Brisk,Brisk,9,9.31373,9.16182,6.963
18,Brisk,Brisk,8,10.9366,8.82697,6.885
1,Brisk,Brief,6,12.7847,12.3137,8.004
2,Brisk,Brief,11,17.4806,11.6706,7.936
3,Brisk,Brief,8,11.586,15.7721,7.886
4,Brisk,Brief,11,20.5567,16.6787,7.839
5,Brisk,Brief,9,20.1335,15.5779,7.789
6,Brisk,Brief,10,16.3037,11.8831,7.724
7,Brisk,Brief,9,15.3035,11.7831,7.659
8,Brisk,Brief,9,18.3345,13.5768,7.603
9,Brisk,Brief,8,15.1317,14.2453,7.55
10,Brisk,Brief,9,11.3328,11.3394,7.484
11,Brisk,Brief,8,13.3716,13.0298,7.427
12,Brisk,Brief,7,13.8723,8.53605,7.341
13,Brisk,Brief,9,11.8364,9.95617,7.268
14,Brisk,Brief,8,10.8091,9.72157,7.194
15,Brisk,Brief,9,11.2562,8.16898,7.107
16,Brisk,Brief,10,11.2909,10.3515,7.039
17,Brisk,Brief,9,10.8604,9.16182,6.963
18,Brisk,Brief,8,10.3764,8.82697,6.885
1,Brisk,Orb,6,14.6861,12.3137,8.004
2,Brisk,Orb,11,19.5646,11.6706,7.936
3,Brisk,Orb,8,13.2505,15.7721,7.886
4,Brisk,Orb,11,16.5137,16.6787,7.839
5,Brisk,Orb,9,20.577,15.5779,7.789
6,Brisk,Orb,10,18.8603,11.8831,7.724
7,Brisk,Orb,9,15.3917,11.7831,7.659
8,Brisk,Orb,9,16.1576,13.5768,7.603
9,Brisk,Orb,8,15.0807,14.2453,7.55
10,Brisk,Orb,9,11.113,11.3394,7.484
11,Brisk,Orb,8,13.648,13.0298,7.427
12,Brisk,Orb,7,10.9394,8.53605,7.341
13,Brisk,Orb,9,11.5702,9.95617,7.268
14,Brisk,Orb,8,11.9856,9.72157,7.194
15,Brisk,Orb,9,11.3847,8.16898,7.107
